仿佛 彷彿
伊东丰雄 伊東豊雄
伙计 夥計
侦搜 偵蒐
候复 候覆
借助 藉助
借口 藉口
借手 藉手
借故 藉故
借机 藉機
借此 藉此
借由 藉由
借端 藉端
借词 藉詞
六幺 六么
凭借 憑藉
剖厘 剖釐
升降 昇降
厘改 釐改
厘整 釐整
厘正 釐正
厘毫 釐毫
厘清 釐清
厘订 釐訂
厘革 釐革
反反复复 反反覆覆
反复 反覆
喧哗 諠譁
回复 回覆
复查 覆查
复核 覆核
复检 覆检
复苏 復甦
大曲 大麴
姓幺 姓么
局促 侷促
局限 侷限
干干净净 乾乾淨淨
干干脆脆 乾乾脆脆
干泉水 乾泉水
幺九 么九
幺二三 么二三
幺儿 么兒
幺元 么元
幺凤 么鳳
幺半 么半
幺叔 么叔
幺喝 么喝
幺女 么女
幺妈 么媽
幺妹 么妹
幺姓 么姓
幺姨 么姨
幺娘 么娘
幺子 么子
幺小 么小
幺弟 么弟
幺正 么正
幺氏 么氏
幺爷 么爺
幺爸 么爸
幺爹 么爹
幺篇 么篇
幺舅 么舅
幺蛾子 么蛾子
幺鸡 么雞
幺麽 么麼
待复 待覆
怂恿 慫慂
恶心 噁心
情搜 情蒐
惨淡 慘澹
手链 手鍊
批复 批覆
拉链 拉鍊
拿破仑 拿破崙
提升 提昇
搜录 蒐錄
搜索 蒐索
搜罗 蒐羅
搜藏 蒐藏
搜证 蒐證
搜购 蒐購
搜辑 蒐輯
搜采 蒐採
搜集 蒐集
斤斗 觔斗
昆仑 崑崙
昆剧 崑劇
昆山 崑山
昆曲 崑曲
昆腔 崑腔
昆苏 崑蘇
昆调 崑調
曲霉 麴黴
朱砂 硃砂
朱红 硃紅
朱色 硃色
殷勤 慇勤
毫厘 毫釐
沉没 沈沒
沉淀 沈澱
沉积 沈積
沉船 沈船
沉重 沈重
沉默 沈默
泛滥 氾濫
洗练 洗鍊
熏习 薰習
熏心 薰心
熏沐 薰沐
熏陶 薰陶
熏香 薰香
直升 直昇
瞭台 瞭臺
穿着者 穿著者
竹升 竹昇
答复 答覆
糊口 餬口
绕境 遶境
缐国安 線國安
缐姓 線姓
老幺 老么
肉干干 肉乾乾
肘手链足 肘手鍊足
苏醒 甦醒
苹婆 蘋婆
苹果 蘋果
造曲 造麴
酒曲 酒麴
重复 重覆
金链 金鍊
铁链 鐵鍊
铰链 鉸鍊
银朱 銀硃
银链 銀鍊
链子 鍊子
链条 鍊條
链表 鍊表
链锁 鍊鎖
链锤 鍊錘
锁链 鎖鍊
闫怀礼 閻懷禮
项链 項鍊
飞升 飛昇
马鞍 馬鞌
高升 高昇
鱼干干 魚乾乾
麽氏 麼氏
黄曲毒素 黃麴毒素
太空人 宇航员
太空梭 穿梭機
太空衣 宇航服
太空飛行器 航天器
奈及利亞 尼日利亚
奈洛比 內羅畢
奶油 忌廉
好萊塢 荷里活
威廉士 威廉姆斯
威斯伐倫 威斯特法伦
威斯康辛 威士顿康星
斥着 斥著
斯堪的納維亞 斯堪地那維亞
斯威士蘭 史瓦濟蘭
