，。	。
船仓	船舱
一慨	一概
忐忐	忐忑
磨励	磨砺
昌蒲	菖蒲
趟水	蹚水
碧罗春	碧螺春
耶苏	耶稣
颠波	颠簸
的释放	地释放
铃印	钤印
吖片	鸦片
哎声叹气	唉声叹气
哀嚎遍野	哀鸿遍野
哀声叹气	唉声叹气
埃户	挨户
埃揍	挨揍
捱个	挨个
捱家	挨家
捱门	挨门
矮马	哎呀妈呀
矮油	哎哟
艾瑞巴蒂	大家
爱不失手	爱不释手
爱带	爱戴
爱豆	偶像
爱乌及鸟	爱屋及乌
爱乌及乌	爱屋及乌
爱乌及屋	爱屋及乌
爱屋及屋	爱屋及乌
爱滋病	艾滋病
嗳昧	暧昧
嗳声叹气	唉声叹气
暧和	暖和
暧味	暧昧
安帮定国	安邦定国
安兵不动	按兵不动
安份守己	安分守己
安然无羔	安然无恙
安然无殃	安然无恙
安微	安徽
安祥	安详
安置若素	安之若素
按步就班	按部就班
按部就般	按部就班
按居乐业	安居乐业
按摸	按摩
按磨	按摩
按纳	按捺
按钠	按捺
按奈	按捺
按耐	按捺
按纽	按钮
按排	安排
按途索骥	按图索骥
按章交税	按章缴税
按装	安装
案语	按语
暗度陈仓	暗渡陈仓
暗然	黯然
暗然泪下	黯然泪下
暗然失色	黯然失色
暗熟	谙熟
黯澹	暗淡
黯黄	暗黄
黯谈	暗淡
黯无天日	暗无天日
骯脏	肮脏
敖敖	嗷嗷
敖敖待哺	嗷嗷待哺
遨翔	翱翔
翱游	遨游
奥大利亚	澳大利亚
奥秒	奥妙
澳州	澳洲
八面伶珑	八面玲珑
巴哈	巴赫
扒犁	爬犁
拔扈	跋扈
拔山涉水	跋山涉水
跋踄	跋涉
把势	把式
罢绌百家	罢黜百家
白壁	白璧
白壁微瑕	白璧微瑕
白璧微暇	白璧微瑕
白璧无暇	白璧无瑕
白磁	白瓷
白废	白费
白骨垒垒	白骨累累
白祟禧	白崇禧
白搪	白糖
白头携老	白头偕老
白晳	白皙
白晰	白皙
白扬	白杨
百步串杨	百步穿杨
